day,desktop,mobile,all
07/08/18,74.09000661813369,25.909993381866315,3022.0
07/15/18,75.8610624635143,24.138937536485695,3426.0
07/22/18,73.97174254317112,26.028257456828886,3185.0
07/29/18,74.68741317032509,25.31258682967491,3599.0
08/05/18,73.22929171668667,26.770708283313326,3332.0
08/12/18,74.87546699875467,25.124533001245332,3212.0
08/19/18,75.8740157480315,24.125984251968504,3175.0
08/26/18,74.19354838709677,25.806451612903224,3348.0
09/02/18,74.35810810810811,25.641891891891895,2960.0
09/09/18,69.66867469879519,30.33132530120482,3320.0
09/16/18,72.36614853195165,27.63385146804836,2895.0
09/23/18,76.83042789223454,23.16957210776545,3155.0
09/30/18,76.14528795811518,23.854712041884817,3056.0
10/07/18,74.50444292549557,25.495557074504443,2926.0
10/14/18,75.42836310608823,24.571636893911773,2743.0
10/21/18,71.75297701467738,28.247022985322623,3611.0
10/28/18,72.6000650829808,27.3999349170192,3073.0
11/04/18,74.55153542110064,25.44846457889936,3289.0
11/11/18,75.93103448275862,24.068965517241377,1450.0
11/18/18,,,
